ORF,myStddev,myMean,myCV
YFR036W,0.023635563,3.117385603,0.007581854
YBL089W,0.022906007,3.41629236,0.006704932
YHR124W,0.067702803,3.123303843,0.021676662
YGL036W,0.031674409,3.396418717,0.009325826
YJL134W,0.014706609,3.48632298,0.004218372
YDR231C,0.020581315,3.488304792,0.005900091
YHR114W,0.016682024,3.443568584,0.0048444
YML010W,0.019234724,3.358110953,0.00572784
YHR053C,0.008374881,3.868879398,0.002164679
YGL104C,0.035286927,3.400685678,0.010376415
YMR169C,0.133685714,3.35759898,0.039815867
YMR226C,0.008764512,3.78366383,0.002316409
YOL071W,0.041643782,3.463620887,0.012023193
YDL012C,0.029802697,3.510068707,0.008490631
YDR206W,0.014369254,3.376243653,0.004255988
YHR191C,0.019470418,3.359793239,0.005795124
YOR329C,0.020884301,3.378146187,0.006182178
YOL011W,0.014742971,3.498948083,0.004213544
YPL002C,0.030378801,3.308638829,0.009181661
YER167W,0.033444943,3.565332237,0.009380597
YKL194C,0.020025657,3.316004891,0.006039092
YDR450W,0.008543684,3.822699642,0.002234987
YNR062C,0.05539331,2.447139257,0.022635945
YHL020C,0.023212958,3.449604806,0.006729164
YOR025W,0.022538646,3.282039334,0.006867269
YGL179C,0.021736006,3.278432813,0.006629999
YFL046W,0.015580699,3.470958084,0.004488876
YHL032C,0.028637884,3.286133785,0.008714765
YKL140W,0.021259386,3.496126852,0.006080839
YPL127C,0.015683256,3.573603022,0.00438864
YKL211C,0.014763626,3.593993034,0.004107862
YBR142W,0.0339961,3.507657796,0.009691966
YBR295W,0.058126972,3.159091778,0.0183999
YDR223W,0.056602192,2.662489837,0.02125912
YKL085W,0.019408369,3.62992376,0.00534677
YLR029C,0.007447848,3.777972695,0.001971387
YCR020W-B,0.071845942,2.83892528,0.025307444
YJL025W,0.027448765,3.069700656,0.008941838
YMR048W,0.080726924,3.297578057,0.024480671
YLR312W-A,0.025287018,3.440727523,0.007349323
YML091C,0.036177468,3.395897123,0.010653287
YLR299W,0.022371501,3.517841814,0.006359439
YMR128W,0.032236784,3.43833789,0.009375688
YPR155C,0.02199184,3.364849255,0.006535758
YLR240W,0.010103691,3.489286684,0.002895632
YOR338W,0.061117824,3.036297921,0.02012906
YIL052C,0.009091657,3.80158572,0.002391543
YLR137W,0.020547398,3.396928758,0.006048816
YJL196C,0.028493742,3.758782442,0.007580578
YHR133C,0.011858642,3.673613282,0.00322806
YOR179C,0.023957183,3.302914184,0.007253347
YMR131C,0.041231103,3.621206055,0.011386014
YNL055C,0.004357456,3.822195294,0.00114004
YJR135C,0.012971475,3.139437086,0.004131784
YIL128W,0.011766554,3.528978399,0.003334266
YBR128C,0.057257698,2.917911251,0.019622838
YCR094W,0.013888696,3.457546715,0.004016922
YLR212C,0.026717744,3.442857583,0.007760339
YDL108W,0.012482759,3.313038123,0.003767768
YJR151C,0.024303335,3.083899379,0.007880716
YOR042W,0.01610441,3.598397942,0.004475439
YGL252C,0.013968838,3.447970852,0.004051321
YLR262C,0.018320926,3.519484605,0.005205571
YDL244W,0.043017913,3.291999102,0.013067413
YDR076W,0.040155715,2.902503149,0.013834857
YLL050C,0.005962811,3.813030212,0.001563799
YPL131W,0.005836101,3.837584039,0.001520775
YMR221C,0.029957094,3.54187286,0.008457981
YBR215W,0.014547575,3.287979951,0.004424472
YBR258C,0.041693436,3.079156289,0.013540539
YFL034C-A,0.024914404,3.644507544,0.006836151
YKR068C,0.008537543,3.599347148,0.00237197
YDR252W,0.034633386,3.0902584,0.011207278
YLL027W,0.006216131,3.512155442,0.001769891
YDR069C,0.023171392,3.38145096,0.0068525
YBR084W,0.031297907,3.606300784,0.008678674
YKL132C,0.031247429,3.148660158,0.00992404
YOL005C,0.020519761,3.541148063,0.005794663
YJL200C,0.061420934,3.554799089,0.017278314
YKR092C,0.041491036,3.451436997,0.01202138
YKR042W,0.009778457,3.791868606,0.002578796
YMR283C,0.017395463,3.381195442,0.005144767
YJL082W,0.027192166,3.31611623,0.008200004
YDL168W,0.013969395,3.614045213,0.003865307
YGL195W,0.016213769,3.617575521,0.004481944
YGR088W,0.084687814,3.518630025,0.024068406
YMR135C,0.021405613,3.427111432,0.006245963
YDL085W,0.071277677,3.088714637,0.023076809
YDL236W,0.010221574,3.668144399,0.002786579
YLR300W,0.022522372,3.751483439,0.006003591
YCR036W,0.014386575,3.551564827,0.004050771
